split,threshold_m,method,evaluation_mode,unsafe_recall,missed_unsafe_rate,false_alarm_rate,unsafe_precision,f1_unsafe,balanced_accuracy,trust_availability,n_epochs,n_actual_unsafe
loso_URUM,2,fixed_rule_gate,solved_only,0.13414634146341464,0.8658536585365854,0.14525368248772505,0.5471938775510204,0.2154696132596685,0.4944463294878448,0.8610421836228288,5642,3198
loso_URUM,2,tuned_rule_gate,full_timeline,0.7913148371531966,0.20868516284680338,0.6374795417348609,0.6274509803921569,0.6999199786609762,0.5769176477091679,0.27395833333333336,5760,3316
loso_URUM,2,tuned_rule_gate,solved_only,0.7836147592245153,0.21638524077548468,0.6374795417348609,0.6166338582677166,0.6901679977967501,0.5730676087448272,0.2796880538816023,5642,3198
loso_URUM,5,fixed_rule_gate,full_timeline,0.1593186372745491,0.8406813627254509,0.15602687946241076,0.1762749445676275,0.16736842105263156,0.5016458789060692,0.8434027777777777,5760,998
loso_URUM,5,fixed_rule_gate,solved_only,0.04659090909090909,0.9534090909090909,0.15602687946241076,0.05229591836734694,0.04927884615384616,0.44528201481424917,0.8610421836228288,5642,880
loso_URUM,5,tuned_rule_gate,full_timeline,0.9929859719438878,0.0070140280561122245,0.9061318773624527,0.18676969468526197,0.31440355329949243,0.5434270472907176,0.07881944444444444,5760,998
loso_URUM,5,tuned_rule_gate,solved_only,0.9920454545454546,0.007954545454545454,0.9061318773624527,0.16827293754818812,0.2877389584706658,0.542956788591501,0.0804679191775966,5642,880
loso_URUM,10,fixed_rule_gate,full_timeline,0.5198237885462555,0.4801762114537445,0.14169528284836436,0.13082039911308205,0.20903454384410983,0.6890642528489456,0.8434027777777777,5760,227
loso_URUM,10,fixed_rule_gate,solved_only,0.0,1.0,0.14169528284836436,0.0,,0.4291523585758178,0.8610421836228288,5642,109
loso_URUM,10,tuned_rule_gate,full_timeline,0.7973568281938326,0.2026431718061674,0.24977408277607085,0.11580294305822136,0.20223463687150836,0.7737913727088809,0.7286458333333333,5760,227
loso_URUM,10,tuned_rule_gate,solved_only,0.5779816513761468,0.42201834862385323,0.24977408277607085,0.04359861591695502,0.08108108108108109,0.6641037843000379,0.7438851471109535,5642,109
loso_HKWS,2,fixed_rule_gate,full_timeline,0.32707509881422925,0.6729249011857708,0.0,1.0,0.49292628443782577,0.6635375494071146,0.7701388888888889,2880,2024
loso_HKWS,2,fixed_rule_gate,solved_only,0.228328611898017,0.771671388101983,0.0,1.0,0.37177121771217714,0.6141643059490085,0.846241892407478,2621,1765
loso_HKWS,2,tuned_rule_gate,full_timeline,0.8162055335968379,0.18379446640316205,0.633177570093458,0.7529626253418414,0.7833096254148885,0.5915139817516899,0.23819444444444443,2880,2024
loso_HKWS,2,tuned_rule_gate,solved_only,0.7892351274787536,0.21076487252124645,0.633177570093458,0.7198966408268734,0.752972972972973,0.5780287786926478,0.2617321632964517,2621,1765
loso_HKWS,5,fixed_rule_gate,full_timeline,0.3970493906350224,0.6029506093649776,0.03255109765329296,0.9350453172205438,0.5574065736154885,0.6822491464908647,0.7701388888888889,2880,1559
loso_HKWS,5,fixed_rule_gate,solved_only,0.27692307692307694,0.7230769230769231,0.03255109765329296,0.8933002481389578,0.4227833235466824,0.622185989634892,0.846241892407478,2621,1300
loso_HKWS,5,tuned_rule_gate,full_timeline,0.9044259140474663,0.09557408595253368,0.858440575321726,0.5542452830188679,0.687301974165245,0.5229926693628701,0.11666666666666667,2880,1559
loso_HKWS,5,tuned_rule_gate,solved_only,0.8853846153846154,0.11461538461538462,0.858440575321726,0.5037199124726477,0.6421199442119945,0.5134720200314447,0.12819534528805798,2621,1300
loso_HKWS,10,fixed_rule_gate,full_timeline,0.7990654205607477,0.20093457943925233,0.13050570962479607,0.5166163141993958,0.6275229357798165,0.8342798554679758,0.7701388888888889,2880,428
loso_HKWS,10,fixed_rule_gate,solved_only,0.4911242603550296,0.5088757396449705,0.13050570962479607,0.20595533498759305,0.2902097902097902,0.6803092753651168,0.846241892407478,2621,169
loso_HKWS,10,tuned_rule_gate,full_timeline,0.7990654205607477,0.20093457943925233,0.2687601957585644,0.34165834165834164,0.47865640307907625,0.7651526124010917,0.6524305555555555,2880,428
